"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3162","test_login_without_entering_credentials","tests","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"","1507","test_search_for_a_valid_product","tests","2026-08-08","passed","2026-08-08","TestSearch","test_Search","",""
"","3921","test_without_entering_any_fields","tests","2026-08-08","passed","2026-08-08","TestRegister","test_Register","",""
"","2151","test_login_with_invalid_email_and_valid_password","tests","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"","5893","test_login_with_valid_credentials[amotoorisampletwo@gmail.com-secondtwo]","tests","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"","3110","test_login_with_valid_credentials[amotoorisampleone@gmail.com-secondone]","tests","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"","668","test_search_for_an_invalid_product","tests","2026-08-08","passed","2026-08-08","TestSearch","test_Search","",""
"","4366","test_register_with_mandatory_fields","tests","2026-08-08","passed","2026-08-08","TestRegister","test_Register","",""
"","969","test_search_without_entering_any_product","tests","2026-08-08","failed","2026-08-08","TestSearch","test_Search","",""
"","3924","test_register_with_all_fields","tests","2026-08-08","passed","2026-08-08","TestRegister","test_Register","",""
"","3792","test_login_with_valid_credentials[amotoorisamplethree@gmail.com-secondthree]","tests","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"","4054","test_login_with_valid_email_and_invalid_password","tests","2026-08-08","passed","2026-08-08","TestLogin","test_login","",""
"","3400","test_with_duplicate_email","tests","2026-08-08","passed","2026-08-08","TestRegister","test_Register","",""
